dataset,classifier,explainer,threshold,false_mean,false_std,false_var,true_mean,true_std,true_var,ttest_statistic,p_value,interpretation
cicids18,XGBoost,lime,0.0,0.01587,0.0,0.0,0.01587,0.0,0.0,,,Significant difference
cicids18,XGBoost,lime,0.1,0.44084,0.06786,0.004600017888636937,0.43673,0.06255,0.003908743764172337,1.40867,0.15909,No significant difference
cicids18,XGBoost,lime,0.2,0.68773,0.05141,0.002640481481481481,0.6824,0.05086,0.002584257747543462,2.33211,0.01979,Significant difference
cicids18,XGBoost,lime,0.3,0.80273,0.03671,0.0013466404635928447,0.80237,0.03396,0.0011518264046359282,0.23085,0.81745,No significant difference
cicids18,XGBoost,lime,0.4,0.86384,0.02673,0.0007140125976316451,0.86241,0.02646,0.0006993640715545477,1.20104,0.22988,No significant difference
cicids18,XGBoost,lime,0.5,0.90448,0.02381,0.0005663078861174098,0.90275,0.02449,0.000599362811791383,1.6017,0.10938,No significant difference
cicids18,XGBoost,lime,0.6,0.93762,0.02173,0.0004719324766943815,0.93629,0.02261,0.000510910556815319,1.34425,0.17902,No significant difference
cicids18,XGBoost,lime,0.7,0.96075,0.01627,0.0002643665910808768,0.96017,0.01623,0.00026301814058956924,0.78647,0.43169,No significant difference
cicids18,XGBoost,lime,0.8,0.97351,0.01149,0.0001318818342151672,0.97314,0.01111,0.00012323910304862655,0.72243,0.47011,No significant difference
cicids18,XGBoost,lime,0.9,0.98049,0.00725,5.254698916603652e-05,0.9804,0.0072,5.184555303602895e-05,0.29462,0.76832,No significant difference
cicids18,XGBoost,shap,0.0,0.25179,0.14647,0.02143064525069287,0.24033,0.19367,0.03747017359536407,1.49252,0.13572,No significant difference
cicids18,XGBoost,shap,0.1,0.72843,0.09346,0.00872590551776266,0.78098,0.11974,0.014323304610733181,-10.94141,0.0,Significant difference
cicids18,XGBoost,shap,0.2,0.8703,0.06145,0.003772174099269337,0.89662,0.06128,0.0037515321239606947,-9.58983,0.0,Significant difference
cicids18,XGBoost,shap,0.3,0.91856,0.03918,0.0015338470647518264,0.93897,0.03708,0.0013738914084152178,-11.9648,0.0,Significant difference
cicids18,XGBoost,shap,0.4,0.94533,0.03011,0.0009057354497354501,0.95697,0.02542,0.0006453713781809022,-9.33739,0.0,Significant difference
cicids18,XGBoost,shap,0.5,0.95714,0.02119,0.000448475686570925,0.96559,0.01812,0.0003279858906525572,-9.57842,0.0,Significant difference
cicids18,XGBoost,shap,0.6,0.96673,0.01742,0.00030304459561602393,0.97092,0.01317,0.00017328697404887848,-6.06864,0.0,Significant difference
cicids18,XGBoost,shap,0.7,0.97281,0.01329,0.00017652582514487243,0.97438,0.01052,0.00011060821365583232,-2.93113,0.00342,Significant difference
cicids18,XGBoost,shap,0.8,0.97756,0.01025,0.00010496447467876005,0.97783,0.00833,6.938548752834426e-05,-0.64592,0.5184,No significant difference
cicids18,XGBoost,shap,0.9,0.98133,0.00664,4.409775762156691e-05,0.98106,0.00643,4.125749559082866e-05,0.92316,0.35604,No significant difference
